,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D
b-D-GalxS-(1-3)-?-D-Galx2NAc,0.1412071066711115,0.014027900418847985,0.035649490844684995,0.056778148165691725,0.12325726383280658,0.092676180660563,0.08348474317859478,0.05032494513221542,0.03454602801634945,0.06011799448133221,0.07247647605056387,0.09371341093593404,0.12924794114715926,0.020698269704622886,0.057788524850065484,0.0417170872763644,0.1202360438587202,0.10666837921654987,0.09471055053333778,0.05729778567295471,0.031230875475130405,0.07578230481013756,0.058336303628100813,0.0885957650560881
b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,0.6656793254018132,0.8587146096836791,0.7946275818677788,0.8774349880396944,0.956467094276448,0.8585708697254881,0.8841682578184759,0.8248330527796127,0.737311588463155,0.951669676238917,0.8867055546132239,1.010212666586664,0.7604700254582024,0.8619578516040175,0.7623943245555527,0.9119003453864571,1.0368864474314083,0.9138028067863928,0.7656937208672706,0.9627526174218596,0.9884887905720656,0.8779642452405609,0.7797092309906847,1.0176318985136452
a-D-Neux5Ac-(2-6)-?-D-Galx2NAc,0.3722668226010067,0.1381245178032872,0.1962224898836893,0.09244591218056517,-0.04642245936616935,0.09790147975956724,-0.060606060606060615,0.15314227269821662,0.2286747576305337,-0.0003271081474243368,0.14074192797200985,-0.02182451519996886,0.2458428839341529,0.14837932189372166,0.2489648484086732,0.09415164863353592,-0.15429052507769087,0.022666426357247586,0.1820607282147234,0.017287558293388204,0.10019777215076166,0.242923062741632,0.15107633200584006,-0.03303339900255852
b-D-Galx-(1-3)-?-D-Galx2NAc,0.19359175442527435,0.8736960231922006,0.7335284053936418,0.8713489981763498,0.7583728749568428,0.8057536592766452,0.7918691243605216,0.7936583494918072,0.6425839703580309,0.8093115266300605,0.7224720199403741,0.7471872030305879,0.475144278246374,0.8447065879723452,0.6304005347509568,0.8862784799345832,0.8234878166818215,0.8608567030790681,0.6518431470659226,0.8191316970035614,0.7583839109758636,0.8022036296991158,0.8104899101371591,0.7631595646793797
?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,0.5271200056835882,0.6571989159228775,0.6224035880043609,0.7011762694503003,0.7858360538467078,0.6006993813647087,0.7285086631088563,0.6158654194455692,0.5439360840192561,0.7598053611543685,0.6598191106754024,0.8500598398432809,0.8917872382833383,0.6420586003848137,0.5484560922902455,0.6956660159091701,0.8951472386141569,0.7243865031733966,0.7661112765281449,0.7531891767112328,0.8574264916427584,0.5008735352965734,0.6645356229736307,0.8824898251160271
a-D-Neux5Ac-(2-3)-b-D-Galx-(1-3)-?-D-Galx2NAc,0.5861282195613801,0.16305397545899736,0.2750489116616605,0.13226055704237036,0.13475669378762514,0.17719124030482886,-0.19902881949634849,0.14444354477850466,0.26677707060822115,-0.1141729007806145,0.20031724629639736,-0.04504756375619074,0.2864038703715447,0.14799741292988253,0.2599805181542522,0.12268443297155532,0.18962271663972674,0.2262457937219855,0.2421799341894692,-0.057840494155182526,0.04716844741141661,-0.02459454623338737,0.2738554654566143,-0.04515312082656694
a-D-Neux5Ac-(2-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,0.15642163479667512,0.0660157647977067,0.07581253689921609,0.04908092153565595,0.026230357865836936,0.04140555843934388,-0.01813373688744508,0.05770855085124973,0.1152570518520725,-0.029554847982092236,0.08296486572733779,-0.06828228837939433,0.09959864826911403,0.06008316558957515,0.08906088648111304,0.06001298811248045,-0.05445846522483761,0.028572651821345125,0.0896987080440248,-0.042731413572145466,0.026275342627267592,0.16643043438182872,0.08797184846013066,-0.07711422695399603
b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,0.028874267008410538,0.8067749424960751,0.6414608211125999,0.8318822087487868,0.7256530267039465,0.7455834154586097,0.7156782518956409,0.7355313119260192,0.4888703371119805,0.8199108183896321,0.6734375583966051,0.8388469235185178,0.3730885963561249,0.7974733347231285,0.5545913025842012,0.851130477807412,0.8537529240751257,0.8108350545150204,0.5269417365969624,0.864127580827256,0.8345016254091598,0.7852794933386833,0.6588814955205671,0.8608846019608468
b-D-Glcx2NAc-(1-3)-b-D-Galx-(1-3)-?-D-Galx2NAc,0.5612160692523349,0.394203028869758,0.3047325803379429,0.4071303702958105,0.3577184614327383,0.3621336021525597,0.6284461471523904,0.3578504613155485,0.2413222048578166,0.5065807244780609,0.4423487150590648,0.4029799917618861,0.42873243519936216,0.3461650188476772,0.3075267911086228,0.4322983230531896,0.4450370142184655,0.4329181090410895,0.4888020498400543,0.4672009160307679,0.6390328394410167,0.026851314640798585,0.566608860160807,0.4820306212808674
a-L-Fucx-(1-2)-b-D-Galx-(1-3)-?-D-Galx2NAc,0.6109884524791921,0.3977221431924167,0.30141380558584085,0.462493412950288,0.6228287985004125,0.5005592041747222,0.6071563047881469,0.4380754725021844,0.3163072925538218,0.4969566784960012,0.5469422459370337,0.7075404689238232,0.4511882004403091,0.4836671975229742,0.39715327956305824,0.6375094863409362,0.4427992708299601,0.4113738171839189,0.04034257182574008,0.5408128244307485,0.3521642645795553,1.0809345905879415,0.2112445078107328,0.7067138369768698
