m/z [M-H]-,RT (min),Composition,Structure,Core,Epitope,HexNAc,Hexose,Fucose,Neu5Ac,Sulfation,Monosaccharides,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D,Mean A,Mean B,Mean C,Mean D,p.AB,q.AB,p.CD,q.CD,p.AC,q.AC,p.BD,q.BD,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N
425.21,12.63,HexNAc2,"GlcNAcβ1,3GalNAcol",3,,2,,,,,2,-0.646,-0.806,-0.747,-0.647,-0.440,-0.789,-0.670,-0.856,-0.892,-0.575,-0.668,-0.451,-0.518,-0.788,-0.735,-0.067,-0.724,-0.832,-0.835,-0.644,-0.519,-0.278,-0.696,-0.441,-0.679,-0.685,-0.611,-0.569,0.946,0.964,0.775,0.956,0.609,0.992,0.297,0.972,0.119,0.031,6,0.119,0.034,6,0.207,0.112,6,0.195,0.056,6,0.163,0.057,12,0.157,0.033,12
513.26,8.01,NeuAc1HexNAc1,"NeuAcα2,6GalNAcol",,sTn,1,,,1,,2,0.081,-0.533,-0.627,0.265,0.776,0.479,0.412,-0.532,-0.414,0.546,0.318,-0.141,-0.302,-0.594,-0.570,0.538,0.527,0.382,0.050,-0.206,-0.038,-0.078,-0.100,-0.211,0.074,0.031,-0.003,-0.097,0.889,0.964,0.686,0.956,0.814,0.992,0.514,0.972,1.993,0.883,6,1.497,0.542,6,1.608,0.630,6,0.717,0.078,6,1.801,0.520,12,1.107,0.286,12
530.47,22.60,Hex1HexNAc1dHex1,"Fucα1,2Galβ1,3GalNAcol",1,H,1,1,1,,,3,0.251,0.908,0.739,0.930,0.484,0.818,-0.408,0.822,0.368,0.527,0.640,0.342,0.312,0.909,0.632,0.438,0.642,0.750,0.922,0.387,0.666,0.407,0.877,0.340,0.688,0.382,0.614,0.600,0.166,0.659,0.921,0.973,0.606,0.992,0.309,0.972,5.482,1.106,6,3.115,0.873,6,4.431,0.883,6,4.515,1.115,6,4.957,0.693,12,3.815,0.707,12
587.25,10.84,Hex1HexNAc2,"Galβ1,3(GlcNAcβ1,6)GalNAcol",2,,2,1,,,,3,0.613,-0.223,0.402,0.152,0.300,0.224,0.641,0.173,0.442,0.207,0.466,0.678,0.436,0.146,0.597,0.630,0.188,0.296,0.263,0.129,0.445,-0.678,0.396,0.692,0.245,0.435,0.382,0.208,0.214,0.659,0.427,0.905,0.354,0.992,0.309,0.972,1.952,0.486,6,2.889,0.556,6,2.545,0.502,6,2.164,0.649,6,2.248,0.345,12,2.526,0.422,12
587.28,12.63,Hex1HexNAc2,"GlcNAcα1,4Galβ1,3GalNAcol",1,αGlcNAc,2,1,,,,3,0.507,0.232,0.276,0.493,0.550,0.166,0.333,0.293,0.054,0.133,0.543,0.368,0.240,0.300,0.311,0.992,0.193,0.190,0.072,0.181,0.248,0.729,0.297,0.468,0.371,0.287,0.371,0.332,0.415,0.842,0.813,0.956,0.999,0.999,0.714,0.972,2.389,0.368,6,1.972,0.342,6,3.017,1.343,6,2.357,0.629,6,2.703,0.670,12,2.165,0.346,12
675.29,9.83,NeuAc1Hex1HexNAc1,"Galβ1,3(NeuAcα2,6)GalNAcol",1,,1,1,,1,,3,0.322,-0.145,0.074,-0.135,0.193,0.322,0.831,-0.029,-0.189,0.495,0.320,0.929,0.301,0.088,0.036,-0.059,0.464,0.191,-0.192,0.900,0.274,-0.538,0.049,0.876,0.105,0.393,0.170,0.228,0.187,0.659,0.821,0.956,0.586,0.992,0.594,0.972,1.299,0.256,6,3.575,1.319,6,1.509,0.306,6,3.131,1.440,6,1.404,0.193,12,3.353,0.933,12
675.30,12.89,NeuAc1Hex1HexNAc1,"NeuAcαα2,3Galβ1,3GalNAcol",1,,1,1,,1,,3,0.495,-0.072,0.107,0.299,0.585,0.578,0.463,0.310,0.130,1.146,0.469,1.098,0.633,0.127,0.440,0.305,0.760,0.495,-0.129,1.288,0.903,0.552,-0.281,1.079,0.332,0.602,0.460,0.569,0.215,0.659,0.706,0.956,0.394,0.992,0.917,0.972,2.379,0.527,6,5.856,2.327,6,3.115,0.653,6,7.276,3.014,6,2.747,0.415,12,6.566,1.828,12
716.32,10.80,NeuAc1HexNAc2,"GlcNAcβ1,3(NeuAcα2,6)GalNAcol",3,,2,,,1,,3,-0.329,-0.671,-0.776,-0.685,-0.176,-0.753,-0.112,-0.835,-0.726,-0.841,-0.602,-0.536,-0.280,-0.783,-0.839,-0.673,0.199,-0.250,-0.848,-0.883,-0.521,-0.634,-0.577,-0.483,-0.565,-0.609,-0.438,-0.658,0.777,0.943,0.243,0.887,0.524,0.992,0.715,0.972,0.217,0.084,6,0.199,0.098,6,0.432,0.223,6,0.133,0.033,6,0.324,0.118,12,0.166,0.050,12
716.38,13.86,NeuAc1HexNAc2,"GalNAcα1,3(NeuAcα2,6)GalNAcol",5,,2,,,1,,3,-0.543,-0.802,-0.833,-0.752,0.278,-0.628,0.526,-0.873,-0.611,-0.474,-0.520,-0.039,-0.225,-0.690,-0.830,-0.538,0.415,-0.047,-0.775,-0.481,-0.495,0.007,-0.796,0.083,-0.546,-0.332,-0.319,-0.409,0.439,0.842,0.719,0.956,0.393,0.992,0.768,0.972,0.383,0.283,6,0.782,0.508,6,0.689,0.380,6,0.434,0.187,6,0.536,0.231,12,0.608,0.263,12
733.36,15.86,Hex1HexNAc2dHex1,"Fucα1,2Galβ1,3GlcNAcβ1,3GalNAcol",3,H,2,1,1,,,4,0.296,-0.257,0.217,0.276,0.212,0.155,-0.042,0.220,-0.081,-0.012,0.181,0.274,0.556,-0.316,0.232,0.121,0.278,0.325,0.726,-0.058,0.416,0.411,0.454,0.156,0.150,0.090,0.200,0.351,0.579,0.926,0.372,0.905,0.740,0.992,0.066,0.972,1.421,0.209,6,1.194,0.182,6,1.754,0.420,6,2.510,0.628,6,1.587,0.229,12,1.852,0.369,12
