"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.552226089652647,-0.271751265821916,0.710834359104455,-0.405020102753555,-0.0219717957399128,-0.059762162814697,0.0396493009661581,-0.080895637395333,-0.0960441412099195
"176_",0.552226089652647,1,0.778268304266975,-0.388902452580049,0.3663641031123,-0.396325137021836,0.635209497445288,-0.594834284527705,-0.0565479774152413,-0.0387819467841519
"189_",-0.271751265821916,0.778268304266975,1,0.043954911426721,-0.238622057270222,0.413627096305598,-0.635385695738375,0.731529237892395,-0.167689503467011,-0.118104022450479
"182_",0.710834359104456,-0.388902452580049,0.0439549114267206,1,0.527752473471514,-0.194171812694839,0.0227593570667911,-0.0919872153702645,-0.0296637359979176,-0.0457470466069285
"195_",-0.405020102753555,0.3663641031123,-0.238622057270222,0.527752473471514,1,0.412269932843241,-0.308880631637143,-0.0395985531827965,-0.12877580994156,0.0445279692691317
"199_",-0.0219717957399127,-0.396325137021837,0.413627096305597,-0.194171812694838,0.41226993284324,1,0.171035953118896,-0.246519288406612,0.0605918623492563,-0.216698385224203
"190_",-0.0597621628146969,0.635209497445288,-0.635385695738375,0.0227593570667911,-0.308880631637143,0.171035953118895,1,0.581309127880493,0.028551202714901,-0.154023171708699
"197_",0.0396493009661584,-0.594834284527704,0.731529237892395,-0.0919872153702651,-0.0395985531827957,-0.246519288406612,0.581309127880493,1,-0.0183616769931504,0.134250560640343
"200_",-0.0808956373953326,-0.0565479774152412,-0.167689503467011,-0.0296637359979172,-0.128775809941559,0.0605918623492559,0.0285512027149002,-0.0183616769931517,1,-0.13090390946396
"201_",-0.0960441412099201,-0.0387819467841524,-0.118104022450479,-0.0457470466069284,0.0445279692691313,-0.216698385224203,-0.154023171708698,0.134250560640344,-0.130903909463958,1
