"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.439972371729188,-0.113840838682362,0.788515244103264,-0.201978061461876,0.0105236806650021,0.153647152562486,-0.179872511892674,-0.0700918944452302,-0.0780874284543967,0.216614927540991,-0.130574244404249,0.111595401530509,-0.225592692669552,-0.0760831718368871,-0.0623740469138394,0.0459092881741062,0.0505845603392367,-0.100254624054197,0.137256055011786
"176_",0.439972371729188,1,0.695386268783087,-0.424225864648956,0.434073512461285,-0.319880480260284,0.515161137257623,-0.300804321993124,-0.0916683780027504,-0.00275847030371327,-0.0598660367815307,0.115337418935693,0.00348347211718928,0.0384635778517824,-0.102953468951986,0.104645263448427,0.0885330804910392,-0.187336113758878,-0.0255663392226824,0.00820391459988316
"189_",-0.113840838682362,0.695386268783086,1,0.145154014061744,-0.256500944256174,0.502999823361535,-0.293761389463099,0.595347376624281,-0.249048077351914,0.0348864315203077,0.0513226849113934,-0.0331886578864953,0.128745445160808,0.017112288396595,-0.0855906580905069,-0.0675398463882527,-0.143186164514006,-0.00220727904175351,0.0923191998055601,-0.0436570767073695
"182_",0.788515244103264,-0.424225864648956,0.145154014061744,1,0.373153795639998,-0.119655251650934,-0.00924082065765389,0.00709067483559288,0.0842594750294114,-0.0226843462443632,-0.10232647161315,-0.0338037133367666,-0.0484197269792602,0.270747994265768,0.0207053778678589,0.00139351072276857,-0.082422794620846,-0.0414112422861556,0.0075267545581456,-0.0369377242254509
"195_",-0.201978061461876,0.434073512461284,-0.256500944256174,0.373153795639998,1,0.690839134046016,-0.0502270928966266,-0.0753611503847491,0.211896347148506,-0.0869987653236273,0.0116072431407133,-0.015489416261039,-0.0109133781407216,-0.0205871111657944,0.159079673391337,-0.0702165052504843,0.0439739706653227,-0.217192660509068,-0.0459001645751712,-0.0429334667826825
"199_",0.010523680665002,-0.319880480260284,0.502999823361536,-0.119655251650934,0.690839134046016,1,-0.101567036106397,-0.0523251887182602,0.154540333128372,0.226706559933449,-0.105393014355901,0.00552221176220215,0.0205212929288479,-0.0501041690617341,0.0239857220639267,0.00614185425322449,-0.188822111774067,0.11362687231218,0.0848872161139431,-0.0621316452269845
"190_",0.153647152562485,0.515161137257623,-0.293761389463099,-0.00924082065765375,-0.0502270928966269,-0.101567036106397,1,0.424051638701545,0.42980125327074,-0.0742412373428236,-0.0622322469514511,0.12975113113504,-0.262517830221307,-0.0132392824376874,0.0400339324377103,-0.102173960460413,-0.00265847437583539,0.238921716585002,-0.0266364500768591,-0.160335119439705
"197_",-0.179872511892674,-0.300804321993124,0.595347376624281,0.00709067483559242,-0.0753611503847494,-0.0523251887182603,0.424051638701546,1,0.11292151639983,0.0805532275051726,-0.0206081662825446,-0.111853785759193,0.0281074093650048,-0.075189327591982,-0.0315867239271683,-0.00199506707264544,0.270184431018075,0.0465490890619591,-0.306142631654388,0.0865417776802372
"200_",-0.0700918944452301,-0.0916683780027499,-0.249048077351914,0.0842594750294117,0.211896347148505,0.154540333128373,0.429801253270741,0.112921516399829,1,0.377021747323831,0.0801846655141285,-0.0840365166178862,0.0115611274071503,-0.0124543703531292,-0.0980208748035548,0.101670292422723,-0.0985303424581037,0.0347783182293036,0.0503463116262062,0.0286226442683551
"201_",-0.0780874284543965,-0.00275847030371341,0.0348864315203075,-0.0226843462443624,-0.086998765323627,0.226706559933448,-0.0742412373428235,0.0805532275051715,0.37702174732383,1,0.03607607113421,-0.0779866763476822,-0.135270219203402,-0.0414784444728032,0.0395781078472895,0.0138338538561305,0.135505276906611,0.116130408517979,-0.00498327370826095,0.0555150224131428
"108_",0.216614927540991,-0.0598660367815306,0.0513226849113935,-0.102326471613149,0.0116072431407131,-0.105393014355901,-0.0622322469514513,-0.0206081662825448,0.080184665514129,0.0360760711342112,1,0.493514930601351,-0.0839195780536773,0.512900254376118,-0.16820810346774,0.115688256145582,0.153703767182491,-0.0759851413281283,-0.0961312010730833,-0.116030601840654
"139_",-0.130574244404249,0.115337418935693,-0.0331886578864953,-0.0338037133367663,-0.0154894162610392,0.00552221176220221,0.12975113113504,-0.111853785759193,-0.0840365166178859,-0.0779866763476823,0.493514930601351,1,0.500902608764367,-0.0745322346042611,0.389117985021745,-0.285769189648724,0.116346177594476,-0.00922252024893361,0.0347824684652074,-0.0212058681173517
"164_",0.111595401530509,0.00348347211718913,0.128745445160808,-0.0484197269792603,-0.0109133781407217,0.0205212929288483,-0.262517830221307,0.0281074093650051,0.0115611274071509,-0.135270219203403,-0.0839195780536775,0.500902608764368,1,-0.125756516826928,-0.00198762552949607,0.298000778321229,-0.126152753923287,0.633030306741886,-0.125835580101471,0.0105511068491749
