"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.608128230433824,-0.293215015866182,0.763153599787266,-0.369685435080566,0.00146022097638181,-0.0682264189706834,0.0109344838897181,0.00254528805949968,-0.0345372277980541
"176_",0.608128230433825,1,0.761471791754453,-0.509762472304406,0.52299253895087,-0.35688118368008,0.571410133344953,-0.429097598894134,-0.0553744235268153,-0.0663286378946658
"189_",-0.293215015866182,0.761471791754454,1,0.1820436831083,-0.496917920856614,0.49350072472681,-0.470947746591592,0.586568325692623,-0.144917796652081,-0.0749503534189409
"182_",0.763153599787266,-0.509762472304405,0.182043683108302,1,0.52539202126303,-0.238497476643451,-0.0108756283696103,-0.0758829696162272,0.0195232942687021,-0.0644133940540707
"195_",-0.369685435080566,0.52299253895087,-0.496917920856613,0.52539202126303,1,0.61838439654272,-0.265859287633936,-0.029764851396821,-0.144441571010213,-0.0694318589959564
"199_",0.00146022097638202,-0.35688118368008,0.493500724726809,-0.238497476643451,0.61838439654272,1,-0.0524806540465641,-0.128742458037468,0.0695177067212448,0.289481399544596
"190_",-0.0682264189706841,0.571410133344953,-0.470947746591592,-0.0108756283696103,-0.265859287633935,-0.0524806540465637,1,0.398603068678988,0.0969387000662561,0.0448960233240555
"197_",0.0109344838897185,-0.429097598894134,0.586568325692623,-0.075882969616227,-0.0297648513968207,-0.128742458037469,0.398603068678987,1,-0.187328209446612,0.119153823050519
"200_",0.00254528805950011,-0.0553744235268163,-0.144917796652081,0.0195232942687026,-0.144441571010211,0.0695177067212447,0.0969387000662543,-0.187328209446614,1,0.461007174333542
"201_",-0.0345372277980549,-0.066328637894665,-0.0749503534189399,-0.0644133940540709,-0.0694318589959565,0.289481399544596,0.0448960233240554,0.11915382305052,0.461007174333542,1
