"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.461765917923908,-0.107294954445261,0.724883467695441,-0.355049335255443,0.0478465731088025,0.0049451629894306,-0.0243827806390252,0.0569376621484053,-0.0384249130788957,0.0107149988364427,0.00064917302950079,0.109862991637682,-0.0595552090436914,-0.0409982419519016,-0.0771556424046162,0.106361536949473,-0.135700286058763,0.00478489198041987,0.00825673733965379
"176_",0.461765917923908,1,0.707494272525222,-0.346769573581901,0.424936859893644,-0.27375635914106,0.42153181638693,-0.319663155738311,-0.0522336132385033,-0.127039018897581,-0.0252669337682716,-0.0132692729500476,0.00739342902904246,-0.0345730949095138,0.00332761194434317,0.0900190872042522,0.385185309321634,-0.178708396000886,0.00257803271082828,0.00243748025660376
"189_",-0.107294954445261,0.707494272525222,1,0.102685524696115,-0.250622101130752,0.47137832520536,-0.272710100478315,0.524432137324358,-0.132764492410588,-0.178127371243013,0.0456692346045815,-0.00255255179530937,0.000770014181262158,-0.0440794603136899,-0.0566918572151443,-0.00686371018832822,-0.307265272236267,0.125256876165859,0.0433984908475321,0.00842316048200952
"182_",0.724883467695441,-0.346769573581901,0.102685524696116,1,0.502422344707025,-0.165112010395353,-0.0638795366007233,0.016789482007485,0.197885684064655,-0.112303564582352,0.0104143398696455,-0.118988197011739,0.0147334458010954,0.163663166132435,0.00903061066646604,-0.0209011949875211,-0.0172594289234542,-0.00524452942577615,-0.182077635096551,-0.0295770954038394
"195_",-0.355049335255443,0.424936859893644,-0.250622101130752,0.502422344707025,1,0.718421597079075,0.12259990508337,-0.248370869546858,0.062493954864287,0.139663577961624,0.0125540617962485,-0.0218855667233721,-0.0277607957461856,0.0186562605228944,0.0618185084691341,-0.138566352687503,-0.00945933497314986,-0.0658714054300627,-0.0368065593047303,-0.185906462832703
"199_",0.0478465731088028,-0.27375635914106,0.47137832520536,-0.165112010395353,0.718421597079075,1,-0.297824438321316,0.0877355261251809,-0.0552768742012256,0.274402449927976,-0.0749975149302334,0.0620441052037161,-0.00602167209565858,-0.0205778878812386,-0.0716784898250716,0.0804015568900634,-0.0882325723122615,0.042474399457719,0.0433757109370093,0.0631267063920517
"190_",0.0049451629894307,0.42153181638693,-0.272710100478315,-0.0638795366007236,0.12259990508337,-0.297824438321316,1,0.586206861931299,0.236337253927952,0.104098411683861,0.0118495259376204,0.0194284414991291,0.0533601772887801,-0.00990416556398027,-0.0856917733156358,0.0145600057201627,-0.134586948346847,-0.134734439021338,-0.0727791797918675,-0.0665661310803453
"197_",-0.0243827806390251,-0.319663155738311,0.524432137324358,0.0167894820074847,-0.248370869546859,0.0877355261251808,0.586206861931299,1,-0.011505026274049,0.294429107554842,-0.0971088024333325,-0.0715781003742639,0.0432962491132934,0.0583694990338961,-0.0617742689499977,-0.16462673497042,0.221460434757184,0.219161050090365,-0.124901480726327,-0.154085650278812
"200_",0.0569376621484052,-0.0522336132385033,-0.132764492410588,0.197885684064655,0.0624939548642869,-0.0552768742012256,0.236337253927952,-0.0115050262740492,1,0.435211789129432,-0.0753822983879167,0.029429040512373,-0.0835221890326775,-0.0854055956674709,0.0925005976112882,0.0678896024727904,0.142196523372969,-0.127674286625443,0.352126842577917,0.103884904249082
"201_",-0.0384249130788958,-0.127039018897581,-0.178127371243013,-0.112303564582351,0.139663577961625,0.274402449927977,0.104098411683861,0.294429107554842,0.435211789129432,1,0.0095264325409436,-0.0321673557754059,-0.0595962488583653,0.0120272920433364,0.0153894968252213,0.041337841773061,-0.0430026136059041,0.0947470259110491,-0.132766463606285,0.0319352475658225
"108_",0.0107149988364426,-0.0252669337682715,0.0456692346045815,0.0104143398696454,0.0125540617962487,-0.0749975149302334,0.0118495259376204,-0.0971088024333324,-0.0753822983879168,0.00952643254094384,1,0.570498005273497,-0.266324933592063,0.485559729205007,-0.074939805262966,-0.165534617581804,0.135941306728146,0.0385271883755447,0.00540829131616467,-0.0217616160670001
"139_",0.000649173029500816,-0.0132692729500475,-0.00255255179530934,-0.118988197011739,-0.021885566723372,0.0620441052037161,0.0194284414991289,-0.0715781003742639,0.029429040512373,-0.0321673557754058,0.570498005273497,1,0.641765034209353,0.120949374390977,0.0646984096403225,-0.0652237797597371,-0.010932991304047,0.062204811324692,-0.0807176646017492,-0.0856550218217056
"164_",0.109862991637682,0.00739342902904246,0.000770014181261996,0.0147334458010957,-0.0277607957461856,-0.00602167209565883,0.0533601772887798,0.0432962491132933,-0.0835221890326776,-0.0595962488583652,-0.266324933592063,0.641765034209352,1,-0.113937515254714,0.292518634674769,0.202466796424857,-0.303427837090194,0.219711608608923,-0.0686981218345238,0.00297287528927523
"148_",-0.0595552090436916,-0.0345730949095137,-0.04407946031369,0.163663166132435,0.0186562605228946,-0.0205778878812385,-0.00990416556398025,0.0583694990338964,-0.0854055956674711,0.0120272920433365,0.485559729205007,0.120949374390977,-0.113937515254714,1,0.383478816028684,-0.0290555060212031,-0.0313299926584112,-0.152105627878125,0.113817571504489,0.0334335828373899
"173_",-0.0409982419519015,0.00332761194434311,-0.056691857215144,0.00903061066646605,0.061818508469134,-0.0716784898250715,-0.0856917733156359,-0.0617742689499976,0.092500597611288,0.0153894968252212,-0.0749398052629659,0.0646984096403229,0.292518634674769,0.383478816028684,1,0.300713162286808,0.0437266556636156,0.0467653981242888,-0.113924589481787,-0.120449554419357
"187_",-0.0771556424046159,0.0900190872042519,-0.00686371018832804,-0.0209011949875211,-0.138566352687503,0.0804015568900633,0.0145600057201625,-0.16462673497042,0.0678896024727905,0.0413378417730611,-0.165534617581804,-0.0652237797597371,0.202466796424858,-0.0290555060212026,0.300713162286809,1,-0.0377033413825169,0.112005574393911,0.189611295659361,0.0458359283177844
"165_",0.106361536949473,0.385185309321634,-0.307265272236267,-0.0172594289234541,-0.00945933497314975,-0.0882325723122615,-0.134586948346848,0.221460434757184,0.142196523372969,-0.0430026136059042,0.135941306728145,-0.010932991304047,-0.303427837090194,-0.0313299926584115,0.0437266556636156,-0.0377033413825169,1,0.647978005588516,-0.0189015977299201,-0.0686625710813508
"184_",-0.135700286058763,-0.178708396000886,0.125256876165859,-0.00524452942577608,-0.0658714054300628,0.0424743994577191,-0.134734439021338,0.219161050090364,-0.127674286625444,0.0947470259110493,0.0385271883755445,0.0622048113246919,0.219711608608922,-0.152105627878125,0.0467653981242891,0.112005574393911,0.647978005588516,1,0.066399021434364,0.0727148538593649
"188_",0.00478489198042024,0.00257803271082846,0.0433984908475319,-0.182077635096551,-0.03680655930473,0.0433757109370091,-0.0727791797918674,-0.124901480726327,0.352126842577918,-0.132766463606285,0.00540829131616436,-0.0807176646017494,-0.0686981218345235,0.113817571504489,-0.113924589481787,0.18961129565936,-0.01890159772992,0.0663990214343644,1,0.16860338135517
"196_",0.00825673733965327,0.00243748025660371,0.00842316048200925,-0.0295770954038396,-0.185906462832703,0.0631267063920511,-0.0665661310803445,-0.154085650278812,0.103884904249082,0.031935247565823,-0.0217616160669998,-0.0856550218217055,0.00297287528927489,0.03343358283739,-0.120449554419358,0.0458359283177841,-0.0686625710813502,0.0727148538593643,0.168603381355169,1
