"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.523347748710367,-0.224048185627618,0.713067753292494,-0.318541347646954,-0.023719377576703,0.0311661028640184,-0.0271231968804527,-0.114087463080405,0.00552832732334104
"176_",0.523347748710367,1,0.710245832622028,-0.373445541307607,0.344444014034099,-0.353518249086391,0.501131410667481,-0.358711620557118,-0.000235955992931919,-0.203891767026479
"189_",-0.224048185627618,0.710245832622028,1,0.0466408456676294,-0.217604206768386,0.436050043390395,-0.465663611151441,0.560135469014437,-0.321720982131513,-0.0030194387199767
"182_",0.713067753292494,-0.373445541307607,0.0466408456676295,1,0.425277076924123,-0.1466386545499,-0.0744413824649936,-0.121701276700452,0.040653629373681,-0.108805562062696
"195_",-0.318541347646954,0.344444014034099,-0.217604206768386,0.425277076924123,1,0.486560783750134,-0.172308764002005,-0.232664438624317,-0.164716036215784,0.123121414874568
"199_",-0.0237193775767029,-0.353518249086391,0.436050043390395,-0.1466386545499,0.486560783750134,1,-0.103789271370876,0.0215526508786243,0.379982900173419,-0.301316962471581
"190_",0.031166102864018,0.501131410667481,-0.465663611151441,-0.0744413824649934,-0.172308764002006,-0.103789271370876,1,0.43916052437361,0.210459064784546,-0.193997029154673
"197_",-0.0271231968804527,-0.358711620557118,0.560135469014436,-0.121701276700452,-0.232664438624317,0.0215526508786246,0.43916052437361,1,-0.00277182812996195,0.101242082247335
"200_",-0.114087463080405,-0.000235955992932012,-0.321720982131513,0.0406536293736807,-0.164716036215785,0.379982900173419,0.210459064784547,-0.00277182812996198,1,-0.0099645246249273
"201_",0.00552832732334094,-0.203891767026479,-0.00301943871997712,-0.108805562062696,0.123121414874566,-0.301316962471581,-0.193997029154674,0.101242082247334,-0.0099645246249274,1
